ananas,1.107079646017698,0.553539823008849,0.36902654867256596
boczek,3.045,1.5225,1.00485
boczek w kostce,8.844,5.896,2.948
brokuł,1.2888000000000002,0.6444000000000001,0.42960000000000004
camembert,3.4875,1.74375,1.1625
cebula,0.312,0.156,0.104
cebula prażona,1.776,0.888,0.5920000000000001
cebulka duszona,0.312,0.156,0.104
chili,2.6999999999999997,1.38,0.8999999999999999
ciasto,2.9579880000000003,1.4789940000000001,0.9859960000000001
cukinia,3.9000000000000057,1.9500000000000028,1.3000000000000018
czosnek,0.7428,0.3714,0.25998
efs,26199.0,15129.0,15129.0
farsz ruski,2.4354,1.6236000000000002,0.8118000000000001
fasola,0.721875,0.364375,0.240625
feta,2.088,1.044,0.696
frytki,2.157,1.0785,0.719
gruszka,3.6407608695652094,1.831413043478257,1.2135869565217365
habanero,4.5888,2.2944,1.5296
jalapeno,0.6333870967741906,0.3197096774193533,0.2111290322580635
kiełbasa,1.439016990291261,0.7195084951456305,0.47967233009708704
kiełbasa chorizo,551.0,551.0,551.0
krewetki,13.4080625,6.70403125,4.44583125
krążki cebulowe,1.7066,0.8533,0.5729299999999999
kukurydza,0.8421875,0.42109375,0.27671875
kurczak,5.176,2.588,1.73396
lazur,4.7299999999999995,2.3649999999999998,1.591
ogórek,1.3250000025,0.6713333346,0.4416666675
oliwki,1.065420558,0.532710279,0.355140186
oscypek,2.598,1.31632,0.8659999999999999
papryka,0.9900000000000001,0.49500000000000005,0.32670000000000005
parmezan,688.9000000000001,688.9000000000001,688.9000000000001
pieczarki,1.52,0.76,0.5035
pieczone ziemniaczki,5000.0,5000.0,5000.0
pomidor,2.7884999999999995,1.4026999999999998,0.9294999999999999
pomidor suszony,3.969473684210523,1.9847368421052616,1.3231578947368412
rukola,1.87125,0.935625,0.62375
salami,2.29,1.145,0.7557
ser,6.375,3.1875,2.04
ser do margharity,3.1875,1.581,1.02
ser wędzony,2.487,1.26008,0.8290000000000001
sos,2.1,1.05,0.7000000000000001
sos sweet chhili,0.351666666,0.234444444,0.117222222
szparagi,317.29032258064495,317.29032258064495,317.29032258064495
szpinak,0.31251999999999996,0.15625999999999998,0.10337199999999999
szynka,2.29900568,1.14950284,0.7586718744
szynka parmeńska,12.81,6.405,4.209
słonecznik,0.657675,0.33614499999999997,0.219225
tuńczyk,6.55833333333333,3.279166666666665,2.198970588235293
żurawina,3.54722222222222,1.77361111111111,1.1883194444444436
